Магазин,Координаты,Время покупки,Категории,Бренды,Номер карточки,Количество товаров,Стоимость покупок
Красное&Белое,"(59.9182595,30.2804904)",2023-04-03 16:42:57.481709,"{'Ликер', 'Вино', 'Джин', 'Виски'}","{'Массандра', 'Bombay Sapphire', ""Jack Daniel's"", 'Amaretto', 'Beefeater'}",5469 7417 8491 3797,6,7000
Пиво и раки,"(59.9080573,30.3463201)",2024-03-12 17:02:23.318298,"{'Ликер', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Водка', 'Пиво', 'Виски'}","{'Veuve Clicquot', 'Baileys', 'Абсолют', 'Абрау-Дюрсо', 'Carlsberg', 'Olmeca', 'Cinzano Bianco', 'Campari', 'Царская', 'Guinness', 'Newcastle Brown Ale', 'The Macallan', 'Kahlua', 'Арарат'}",4277 1608 5085 1929,15,18910
Винлаб,"(59.9207815,30.3424171)",2024-05-19 16:15:03.611372,"{'Вермуты', 'Эль', 'Текила', 'Сидр', 'Пиво'}","{'Olmeca', 'Cinzano Bianco', 'Newcastle Brown Ale', 'Somersby', 'Балтика 7', 'Carpano'}",4272 1835 8084 9290,6,4330
Красное&Белое,"(59.9127586,30.3495155)",2024-05-10 14:25:29.973860,"{'Ликер', 'Бренди', 'Коньяк', 'Эль', 'Ром', 'Водка', 'Пиво'}","{'Baileys', 'Metaxa', 'Old Speckled Hen', 'Русский Стандарт', 'Балтика 7', 'Vecchia Romagna', 'Amaretto', 'Pliska', 'Captain Morgan', 'Арарат'}",2202 2819 2253 8615,11,10360
Дикси,"(59.9237057,30.3358711)",2024-04-14 20:45:06.674914,"{'Косметика и уход', 'Бытовая химия', 'Минеральная вода', 'Шоколад', 'Молочные продукты', 'Крупа гречневая', 'Собачий корм', 'Средство для мытья посуды', 'Напитки', 'Полуфабрикаты', 'Фрукты'}","{'Кока-Кола', 'Fairy', 'Боржоми', 'Milka', 'Rich', 'Мистер Мускул', 'Националь', 'AOS', 'Nivea', 'Chappi', 'Pedigree', 'Мираторг', 'Простоквашино', 'Агроферма'}",5406 4123 6921 5464,15,2124
Дикси,"(59.9240244,30.2858211)",2023-10-08 15:42:15.083119,"{'Хлебобулочные', 'Туалетная бумага', 'Крупы', 'Мясо', 'Кофе', 'Водка', 'Молочные продукты', 'Коньяк', 'Освежитель воздуха', 'Кошачий корм', 'Батарейки', 'Соусы и специи', 'Сметана', 'Рыба и морепродукты', 'Полуфабрикаты', 'Колбаса', 'Зубная паста', 'Фрукты'}","{'АрАрАт', 'Colgate', 'Белуга', 'Рыбная фабрика', 'Махеев', 'КампоМос', 'Брест-Литовск', 'Глобус', 'Вкуснотеево', 'Kleenex', 'Мистраль', 'Felix', 'Русское море', 'Торчин', 'Air Wick', 'Каравай', 'Дымов', 'Националь', 'Окраина', 'Домик в деревне', 'Jacobs', 'Duracell', 'Агроферма'}",4277 9879 8016 5586,25,6486
Красное&Белое,"(59.913814,30.2965077)",2024-01-14 20:02:55.200510,"{'Бренди', 'Вермуты', 'Вино', 'Текила', 'Шампанское', 'Ром', 'Сидр', 'Пиво'}","{'Zacapa', 'Fizzy', 'Leffe', 'Martini Asti', 'Bosca', 'Olmeca', 'Campari', 'Советское', 'Guinness', 'Ararat', 'Инкерман', 'Jose Cuervo', 'Amstel', 'Винодельня Фанагория', 'Captain Morgan'}",5406 1223 5427 8283,18,18840
Ситилинк,"(59.9263814,30.3187662)",2024-05-15 12:58:07.426380,"{'Наушники', 'Роутер', 'Монитор', 'Планшет', 'Колонки', 'Игровая консоль', 'Мышь', 'Микрофон', 'Умная колонка', 'Электронная книга', 'Материнская плата', 'Видеокарта'}","{'Xiaomi', 'Shure', 'Acer', 'SteelSeries', 'ASUS', 'Amazon', 'Sony', 'Barnes & Noble', 'Apple', 'Razer', 'AMD', 'Harman Kardon', 'Sennheiser'}",5469 8583 6530 9167,15,188500
РеалЪ,"(59.915474,30.3178591)",2023-05-17 20:25:36.842993,"{'Бытовая химия', 'Детские товары', 'Средство для ванной', 'Корма для животных', 'Мусорные пакеты', 'Конфеты', 'Молочные продукты', 'Кондитерские изделия', 'Бакалея', 'Напитки', 'Хлебобулочные', 'Мясо'}","{'Fairy', 'Красный Октябрь', 'Солнце и Луна', 'Coca-Cola', 'Брест-Литовск', 'Paclan', 'Мистер Мускул', 'Sanfor', 'Шебекинские', 'Pedigree', 'Олейна', 'Славянка', 'Тульский', 'КампоМос'}",2204 8764 7589 5144,15,2692
Ароматный мир,"(59.9151942,30.3219864)",2024-05-20 18:51:11.953126,"{'Бренди', 'Джин', 'Вермуты', 'Эль', 'Вино', 'Текила', 'Сидр', 'Виски'}","{'Metaxa', 'Olmeca', ""Gordon's"", 'Chivas Regal', 'Noilly Prat', 'Ararat', 'Инкерман', 'Somersby', 'Bass Pale Ale'}",5406 4567 9408 6699,9,10430
Градусы,"(59.9289941,30.3487379)",2023-01-29 16:56:56.799741,"{'Ликер', 'Бренди', 'Коньяк', 'Вино', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Magners', 'Carlsberg', 'Абрау-Дюрсо', ""Sheridan's"", 'Hennessy', 'Русский Стандарт', 'Heineken', 'The Macallan', 'Pliska', 'Массандра'}",5469 7298 1404 2510,11,11570
Eurospar,"(59.9346217,30.3341973)",2024-06-09 20:44:31.513597,"{'Влажные салфетки', 'Детские товары', 'Мусорные пакеты', 'Салфетки', 'Коньяк', 'Средство для стекол', 'Хлебобулочные', 'Средство для чистки', 'Мясо', 'Полуфабрикаты', 'Майонез', 'Колбаса', 'Кетчуп'}","{'Heinz', 'Clin', 'Останкино', 'Солнце и Луна', 'Paclan', 'Calve', 'Pampers', 'Булочный Завод', 'Hennessy', 'Cif', 'Ремит', 'Сибирская коллекция', 'Махеев', 'Kleenex'}",5489 1872 7046 2256,14,5332
Винограция,"(59.9048923,30.3123024)",2024-04-04 18:27:34.746469,"{'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Вино', 'Текила', 'Шампанское', 'Виски'}","{'Sandeman', 'Bosca', 'Массандра', 'Olmeca', ""Jack Daniel's"", 'Campari', 'Hennessy', 'Beefeater'}",5443 4124 3085 1389,8,11050
Верный,"(59.9243687,30.3278538)",2023-04-15 17:56:09.721529,"{'Косметика и уход', 'Кофе и чай', 'Корма для животных', 'Крупа гречневая', 'Хлеб', 'Кондитерские изделия', 'Прокладки', 'Напитки', 'Средство для чистки', 'Замороженные овощи', 'Мыло', 'Полуфабрикаты', 'Консервы', 'Замороженные продукты'}","{'Ahmad Tea', 'Бондюэль', 'Слодыч', 'Purina', '4 сезона', 'Бородинский', 'Увелка', 'Naturella', 'Rich', 'Cif', 'Head & Shoulders', 'Dove', 'Мираторг', 'Морозко'}",2206 2940 5025 5075,14,2085
Красное&Белое,"(59.913814,30.2965077)",2023-02-06 09:03:50.599241,"{'Ликер', 'Бренди', 'Коньяк', 'Эль', 'Вино', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво'}","{'Veuve Clicquot', 'Moet & Chandon', 'Pliska', 'Apple Fox', 'Leffe', 'Metaxa', 'Carlsberg', 'Кизлярский', 'Царская', 'Old Speckled Hen', 'Kilkenny', 'Инкерман', 'Heineken', 'Sailor Jerry', 'Винодельня Фанагория', 'Malibu', 'Bass Pale Ale', 'Массандра'}",2202 3428 9630 1212,22,24370
РеалЪ,"(59.93897,30.323995)",2024-06-02 15:32:26.248877,"{'Крупы', 'Средство для мытья посуды', 'Печенье', 'Лапша быстрого приготовления', 'Замороженные овощи', 'Колбаса'}","{'Fairy', 'Мистраль', 'Останкино', 'Юбилейное', 'Hortex', 'Доширак'}",2206 8732 8551 9343,6,722
Красное&Белое,"(59.9113926,30.3002056)",2024-04-28 20:10:01.869843,"{'Вермуты', 'Коньяк', 'Шампанское', 'Ром', 'Водка'}","{'Белуга', 'Zacapa', 'Советское', 'Martini Rosso', 'Remy Martin'}",2200 5667 9995 9051,5,9600
Магнит,"(59.9279292,30.3464564)",2023-11-12 20:09:31.238511,"{'Мясо', 'Корма для животных', 'Минеральная вода', 'Водка', 'Молочные продукты', 'Кошачий корм', 'Кондитерские изделия', 'Сосиски', 'Печенье', 'Средство для чистки', 'Мыло', 'Сок', 'Полуфабрикаты', 'Напитки', 'Колбаса', 'Фрукты'}","{'Наполеон', 'Сады России', 'Кока-Кола', 'Боржоми', 'Останкино', 'Брест-Литовск', 'Юбилейное', 'Фруктовый Сад', 'Felix', 'Микоян', 'Дымов', 'Русский Стандарт', 'Pedigree', 'Dove', 'Comet', 'Мираторг', 'Тульский'}",4276 1768 2423 4956,19,3841
Винлаб,"(59.9036357,30.3115127)",2023-05-30 22:52:41.493264,"{'Ликер', 'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Metaxa', 'Инкерман', 'Espolon', 'Don Julio', 'Campari', 'Strongbow', 'Русский Стандарт', 'Винодельня Фанагория', 'Apple Fox', 'Балтика 7', 'Zacapa', 'Baileys', ""Jack Daniel's"", 'Kilkenny', 'Malibu', 'Remy Martin', 'Массандра', 'Fizzy', ""Gordon's"", 'Арарат'}",5443 1416 5124 5291,22,26740
Красное&Белое,"(59.9286428,30.3496876)",2024-03-09 12:08:13.784018,"{'Ликер', 'Портвейн', 'Джин', 'Вермуты', 'Эль', 'Вино', 'Шампанское', 'Водка', 'Сидр', 'Пиво'}","{'Белуга', 'Sandeman', 'Bombay Sapphire', 'Old Speckled Hen', 'Царская', 'Strongbow', 'Somersby', 'Martini Rosso', ""Graham's"", 'Malibu', 'Martini Asti', 'Массандра', 'Жигулевское'}",4279 2062 8483 1562,17,11260
Лэндком,"(59.9132388,30.3163076)",2024-04-15 18:38:00.696683,"{'Роутер', 'Игровая консоль', 'Микрофон', 'Флешка', 'Электронная книга', 'Ноутбук', 'Сканер'}","{'Nintendo', 'ADATA', 'HP', 'Audio-Technica', 'Sony', 'ONYX', 'Fujitsu', 'Kindle', 'Kingston', 'TP-Link'}",4277 8562 9615 5765,10,177900
Пятёрочка,"(59.913195,30.2772759)",2023-09-27 15:52:15.416775,"{'Косметика и уход', 'Крупы', 'Бытовая химия', 'Детские товары', 'Подгузники', 'Молочные продукты', 'Шампунь', 'Кошачий корм', 'Прокладки', 'Сосиски', 'Средство для стекол', 'Хлебобулочные', 'Мыло', 'Водка', 'Макароны', 'Колбаса', 'Кетчуп', 'Фрукты'}","{'Colgate', 'Белуга', 'Макфа', 'Always', 'Славянка', 'Махеев', 'Fairy', 'Брест-Литовск', 'Pampers', 'Агро-Альянс', 'Зеленая Долина', 'Невская косметика', 'Clear', 'Солнце и Луна', 'Felix', 'Мистер Мускул', 'Каравай', 'Дымов', 'Селяночка'}",4279 2089 2607 7874,21,4797
Красное&Белое,"(59.9186528,30.3461589)",2023-11-03 21:48:20.108801,"{'Ликер', 'Джин', 'Вермуты', 'Текила', 'Водка', 'Пиво', 'Виски'}","{""Hendrick's"", 'Белуга', 'Baileys', 'Cinzano Bianco', 'Jameson', 'Espolon', 'Hoegaarden'}",4272 3283 2719 5487,7,8570
Винлаб,"(59.9243299,30.3058882)",2024-07-21 12:36:31.817001,"{'Джин', 'Вермуты', 'Коньяк', 'Вино', 'Шампанское', 'Водка', 'Сидр', 'Виски'}","{'Moet & Chandon', 'Magners', 'Абсолют', 'Campari', ""Gordon's"", 'Chivas Regal', 'Инкерман', 'Шато Тамань', 'Martini Rosso', 'Courvoisier'}",5406 8920 4053 4343,10,14730
Дикси,"(59.921656,30.2865236)",2023-04-01 16:18:34.201360,"{'Туалетная бумага', 'Крупы', 'Косметика и уход', 'Корма для животных', 'Подгузники', 'Замороженные продукты', 'Сок', 'Молочные продукты', 'Масло сливочное', 'Шампунь', 'Хлеб', 'Кондитерские изделия', 'Средство для мытья посуды', 'Водка', 'Мясо', 'Лапша быстрого приготовления', 'Фрукты'}","{'Fairy', 'Экомилк', 'Рот-Фронт', 'Фруктовый Сад', 'Китикэт', 'Агро-Альянс', 'Pampers', 'Zewa', 'Тавр', 'Русский Стандарт', 'Нарезной', 'Зеленая Долина', 'Домик в деревне', 'Head & Shoulders', 'Сибирская коллекция', 'Доширак', 'Kleenex', 'Nivea'}",5469 5144 8003 1854,18,4364
Красное&Белое,"(59.9236185,30.3424575)",2024-08-26 17:30:17.282662,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Текила', 'Сидр', 'Пиво'}","{'Magners', 'Apple Fox', 'Sandeman', 'Bombay Sapphire', 'Cinzano Bianco', 'Campari', 'Strongbow', 'Ararat', 'Heineken', 'Jose Cuervo', 'Martini Rosso', 'Amaretto', 'Pliska', 'Kahlua', 'Fonseca'}",2202 9964 5643 1979,15,13610
Коньяки Дагестана,"(59.9258681,30.3152696)",2023-10-30 22:38:24.077724,"{'Ликер', 'Портвейн', 'Коньяк', 'Эль', 'Текила', 'Пиво'}","{'Baileys', 'Stella Artois', 'Newcastle Brown Ale', 'Jose Cuervo', ""Graham's"", 'Remy Martin'}",2206 9971 3418 3005,6,8170
Красное&Белое,"(59.9255269,30.3053258)",2023-12-21 13:38:35.908487,"{'Ликер', 'Джин', 'Вермуты', 'Коньяк', 'Вино', 'Текила', 'Шампанское', 'Пиво', 'Виски'}","{'Moet & Chandon', 'Baileys', 'Carlsberg', 'Bombay Sapphire', 'Courvoisier', ""Sheridan's"", 'Jose Cuervo', 'Martini Rosso', 'Johnnie Walker', 'Tanqueray', 'Массандра', 'Арарат'}",4276 4432 4863 4344,12,18100
Ladoga Wine,"(59.9340165,30.2996857)",2023-12-04 21:14:30.823855,"{'Бренди', 'Портвейн', 'Вермуты', 'Вино', 'Ром', 'Пиво'}","{'Metaxa', 'Абрау-Дюрсо', 'Cinzano Bianco', ""Cockburn's"", 'Sailor Jerry', 'Балтика 7', 'Captain Morgan', 'Массандра'}",5443 2349 9632 1854,8,7210
Ароматный мир,"(59.9255165,30.3435536)",2023-01-22 22:09:06.338065,"{'Ликер', 'Вермуты', 'Коньяк', 'Эль', 'Шампанское', 'Ром', 'Пиво', 'Виски'}","{'Кизлярский', 'Cinzano Bianco', ""Fuller's"", 'The Macallan', 'Sailor Jerry', 'Amaretto', 'Martini Asti', 'Hoegaarden'}",5443 5529 4028 6813,9,10860
Ijevan,"(59.9262304,30.3204982)",2024-01-01 10:55:35.307274,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Коньяк', 'Вино', 'Текила', 'Шампанское', 'Пиво'}","{'Sandeman', 'Patron', 'Espolon', 'Amaretto', 'Pliska', 'Tanqueray', 'Кизлярский', ""Dow's"", 'Fonseca', 'Ararat', 'Массандра', 'Beefeater', 'Hoegaarden', 'Leffe', 'Абрау-Дюрсо', 'Bosca', 'Olmeca', 'Советское', 'Vecchia Romagna', 'Remy Martin'}",5443 7143 7188 7096,20,25490
Не указано,"(59.922528,30.3503695)",2024-07-09 15:54:03.400229,"{'Планшет', 'Монитор', 'Процессор', 'Жесткий диск', 'Фотоаппарат', 'Колонки', 'Микрофон', 'Внешний жесткий диск', 'Флешка', 'Умная колонка', 'Электронная книга', 'Смартфон'}","{'Seagate', 'PocketBook', 'Blue Yeti', 'Shure', 'OnePlus', 'Amazon', 'Sony', 'WD', 'Apple', 'Lenovo', 'ADATA', 'AMD', 'LG', 'Samsung', 'JBL'}",4276 8271 6519 4825,17,280300
Ijevan,"(59.9262304,30.3204982)",2024-07-07 16:50:56.722948,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Шампанское', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Patron', 'Espolon', 'Johnnie Walker', 'Pliska', 'Абсолют', 'Campari', 'The Macallan', 'Amstel', 'Apple Fox', 'Baileys', ""Dow's"", 'Bombay Sapphire', 'Stella Artois', 'Kilkenny', 'Budweiser', ""Hendrick's"", 'Magners', 'Bosca', 'Courvoisier'}",5443 3883 4859 4045,22,27900
Пятёрочка,"(59.9185299,30.2812814)",2024-05-14 12:39:35.499291,"{'Сладости', 'Мясо', 'Гель для душа', 'Молочные продукты', 'Крупа гречневая', 'Шампунь', 'Бакалея', 'Средство для мытья посуды', 'Средство для стекол', 'Пельмени', 'Соусы и специи', 'Колбасные изделия', 'Рыба и морепродукты', 'Овощи', 'Кетчуп', 'Замороженные продукты'}","{'Heinz', 'Великолукский МК', 'Fairy', 'Увелка', 'Коммунарка', 'Дымов', 'Мистер Мускул', 'Head & Shoulders', 'Цезарь', 'Шебекинские', 'Dove', 'Санта Бремор', 'Золотой Петушок', 'Овощи России', 'Простоквашино', 'КампоМос'}",5406 4888 4792 7725,17,3215
РосАл,"(59.9226614,30.3507536)",2024-04-03 17:47:35.619987,"{'Портвейн', 'Коньяк', 'Вино', 'Шампанское', 'Пиво'}","{'Veuve Clicquot', 'Bosca', ""Graham's"", 'Hennessy', 'Инкерман', 'Budweiser', 'Балтика 7'}",4272 2390 6006 4105,7,9810
Eurospar,"(59.9285866,30.3464644)",2024-08-09 17:48:58.205378,"{'Крупы', 'Сладости', 'Косметика и уход', 'Мясо', 'Водка', 'Газировка', 'Моющее средство', 'Хлеб', 'Кондитерские изделия', 'Средство для стекол', 'Хлебобулочные', 'Рыба и морепродукты', 'Колбаса'}","{'Балтийский берег', 'Белуга', 'Clin', 'Coca-Cola', 'Глобус', 'Бородинский', 'Каравай', 'Дымов', 'Националь', 'Русский Стандарт', 'Тульский', 'Аленка', 'Tide', 'Nivea'}",4279 1132 2533 7509,15,4258
ReaderOne,"(59.9263925,30.3191041)",2023-10-14 16:27:31.705617,"{'Роутер', 'Принтер', 'Наушники', 'Процессор', 'Проектор', 'Мышь', 'Часы', 'Флешка', 'Внешний жесткий диск', 'Микрофон', 'Смартфон', 'Видеокарта'}","{'SanDisk', 'Intel', 'HP', 'ASUS', 'Epson', 'Sony', 'Rode', 'Garmin', 'Apple', 'Razer', 'AMD', 'Samsung', 'Sennheiser', 'TP-Link'}",2202 1156 1103 4643,16,222200
Ароматный мир,"(59.9041522,30.323596)",2024-04-09 11:33:50.333531,"{'Ликер', 'Бренди', 'Портвейн', 'Джин', 'Вермуты', 'Эль', 'Вино', 'Текила', 'Ром', 'Сидр', 'Пиво', 'Виски'}","{'Espolon', 'Шато Тамань', 'Pliska', ""Sheridan's"", 'Guinness', 'The Macallan', 'Винодельня Фанагория', 'Bass Pale Ale', 'Zacapa', ""Dow's"", 'Torres', 'Chivas Regal', 'Martini Rosso', 'Malibu', 'Beefeater', ""Hendrick's"", 'Leffe', 'Bacardi', 'Somersby', 'Fonseca'}",5489 8906 6721 7015,23,30350
Удачный,"(59.9116802,30.3069503)",2024-02-07 10:06:30.168173,"{'Туалетная бумага', 'Хлебобулочные', 'Средство для чистки', 'Салфетки', 'Освежитель воздуха', 'Замороженные овощи', 'Чай', 'Кетчуп', 'Фрукты', 'Косметика и уход', 'Гель для душа', 'Молочные продукты', 'Кондитерские изделия', 'Бакалея', 'Рыба и морепродукты', 'Майонез', 'Корма для животных', 'Газировка', 'Конфеты', 'Напитки', 'Консервы'}","{'Colgate', 'Рыбная фабрика', 'Добрый', 'Махеев', 'Славянка', 'Heinz', 'Брест-Литовск', 'Рот-Фронт', '4 сезона', 'Рот Фронт', 'Kleenex', 'Cif', 'Дары сада', 'Lipton', 'Главпродукт', 'Кока-Кола', 'Air Wick', 'Coca-Cola', 'Zewa', 'Домик в деревне', 'Whiskas', 'Nivea'}",2204 7221 8293 9953,23,2923
Красное&Белое,"(59.9030695,30.3242598)",2023-03-01 20:22:48.204009,"{'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Эль', 'Текила', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Царская', 'Jameson', 'Havana Club', 'Pliska', 'Tanqueray', 'Guinness', 'Noilly Prat', 'Hennessy', 'Amstel', 'Балтика 7', 'Bass Pale Ale', 'Carpano', 'Stella Artois', 'Chivas Regal', 'Martini Rosso', ""Hendrick's"", 'Carlsberg', 'Olmeca', ""Gordon's"", ""Fuller's"", 'Bacardi', 'Арарат'}",2206 6072 5092 4663,23,24670
Красное&Белое,"(59.9049809,30.3415042)",2023-03-15 10:21:37.298036,"{'Ликер', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское'}","{'Patron', 'Советское', 'Newcastle Brown Ale', 'Шато Тамань', 'Kahlua', 'Remy Martin'}",2202 5088 5358 8764,6,10410
Книжная лавка,"(59.930408,30.324336)",2023-06-01 21:24:36.928045,"{'Философия', 'Современная проза', 'Бизнес-литература', 'Фантастика', 'Поэзия', 'Саморазвитие', 'Научная фантастика', 'Приключения', 'Исторический роман', 'Детектив'}","{'Гаррисон', 'Чейз', 'Синек', 'Глуховский', 'Гарднер', 'Кийосаки', 'Герберт', 'Грин', 'Бэнкс', 'Ахматова', 'Сорокин', 'Жюль Верн', 'Кови', 'Трамп', 'Ницше', 'Маклин', 'Пикуля'}",4279 9295 5763 8278,19,7150
Пятёрочка,"(59.9210744,30.3388217)",2023-09-18 09:08:06.271971,"{'Хлебобулочные', 'Крупы', 'Косметика и уход', 'Бытовая химия', 'Сладости', 'Кофе и чай', 'Шоколад', 'Молочные продукты', 'Собачий корм', 'Хлеб', 'Кондитерские изделия', 'Напитки', 'Колбасные изделия', 'Батарейки', 'Сметана', 'Зубная паста', 'Консервы'}","{'Главпродукт', 'Fairy', 'Мистраль', 'Ahmad', 'Milka', 'Рот-Фронт', 'Бородинский', 'Rich', 'Нарезной', 'Тёма', 'Окраина', 'Домик в деревне', 'Chappi', 'Агро-альянс', 'Splat', 'Аленка', 'Duracell', 'Nivea'}",2202 9996 6718 5887,18,2146
Дикси,"(59.9320095,30.3165455)",2023-10-19 10:49:32.796123,"{'Хлебобулочные', 'Крупы', 'Косметика и уход', 'Корма для животных', 'Водка', 'Сок', 'Молочные продукты', 'Соусы и специи', 'Собачий корм', 'Шампунь', 'Кондитерские изделия', 'Средство для мытья посуды', 'Лапша быстрого приготовления', 'Мясо', 'Майонез', 'Замороженные продукты'}","{'Белуга', 'ВкусВилл', 'Heinz', 'Мистраль', 'Clear', 'Брест-Литовск', 'Золотой Петушок', 'Слодыч', 'Purina', 'Махеев', 'AOS', 'Хлебный Дом', 'Добрый', 'Head & Shoulders', 'Pedigree', 'Доширак', 'Nivea'}",2206 1959 8890 3568,19,4036
Пятёрочка,"(59.9284697,30.3048304)",2023-01-19 22:32:11.464037,"{'Крупы', 'Подгузники', 'Молочные продукты', 'Сыр', 'Молоко', 'Кетчуп', 'Замороженные продукты'}","{'Heinz', 'Останкино', 'Pampers', 'Савушкин', 'Президент', 'Националь', 'Домик в деревне'}",4277 3604 5619 2372,7,1915
Вкустер,"(59.9054965,30.3426548)",2023-09-03 21:30:47.971587,"{'Косметика и уход', 'Крупы', 'Подгузники', 'Минеральная вода', 'Крупа гречневая', 'Бакалея', 'Хлебобулочные', 'Замороженные овощи'}","{'Боржоми', 'Rexona', 'Мистраль', 'Увелка', '4 сезона', 'Булочный Завод', 'Huggies', 'Шебекинские', 'Олейна'}",5406 6660 3715 8583,10,1872
Норман,"(59.9075864,30.2967032)",2023-12-21 14:28:33.325559,"{'Ликер', 'Бренди', 'Джин', 'Вермуты', 'Коньяк', 'Вино', 'Шампанское', 'Виски'}","{'Martini Asti', 'Абрау-Дюрсо', 'Remy Martin', 'Bombay Sapphire', 'Amaretto', 'Арарат', 'Ararat', 'Vecchia Romagna', 'The Macallan', 'Malibu', 'Pliska', 'Tanqueray', 'Массандра', 'Carpano'}",2206 5522 5227 2045,14,22100
Ароматный мир,"(59.928991,30.3118417)",2023-04-04 19:22:24.041675,"{'Ликер', 'Бренди', 'Текила', 'Шампанское'}","{'Советское', ""Sheridan's"", 'Vecchia Romagna', 'Jose Cuervo', 'Martini Asti'}",5406 2757 7483 6117,6,8000
Дикси,"(59.9117844,30.3095069)",2023-06-11 11:37:18.527287,"{'Сладости', 'Кофе и чай', 'Гель для душа', 'Газировка', 'Масло сливочное', 'Батарейки', 'Хлебобулочные', 'Зубная паста'}","{'Экомилк', 'Бородинский', 'Коммунарка', 'Energizer', 'Pepsi', 'Jacobs', 'Splat', 'Славянка', 'Nivea'}",2200 8582 1534 9991,9,1180
Светофор,"(59.9028826,30.33765)",2024-07-15 13:16:58.236008,"{'Хлебобулочные', 'Овощи', 'Замороженные продукты', 'Бытовая химия', 'Шоколад', 'Мясо', 'Водка', 'Чай', 'Молочные продукты', 'Вино', 'Кондитерские изделия', 'Прокладки', 'Корма для животных', 'Газировка', 'Вода', 'Масло сливочное', 'Средство для мытья посуды', 'Сок', 'Полуфабрикаты'}","{'Добрый', 'Always', 'КампоМос', 'Наполеон', 'Fairy', 'Milka', 'Брест-Литовск', 'Русский Стандарт', 'Шардоне', 'Lenor', 'Крестьянское', 'Элика', 'Greenfield', 'Булочный Завод', 'Аква Минерале', 'Naturella', 'Дымов', 'Pepsi', 'Whiskas', 'Булочная Столичная', 'Агроферма'}",2202 2044 4914 4613,23,4364
Красное&Белое,"(59.9123319,30.3005945)",2024-06-29 18:53:34.898723,"{'Джин', 'Вермуты', 'Шампанское', 'Ром', 'Пиво'}","{'Campari', ""Gordon's"", 'Bacardi', 'Martini Asti', 'Жигулевское'}",4279 2862 6339 7124,5,5050
Красное&Белое,"(59.9087062,30.3459262)",2023-10-13 13:55:06.207887,"{'Ликер', 'Портвейн', 'Джин', 'Вермуты', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Пиво', 'Виски'}","{'Moet & Chandon', 'Bombay Sapphire', ""Jack Daniel's"", 'Cinzano Bianco', 'Campari', 'Советское', 'Русский Стандарт', 'Espolon', 'Sailor Jerry', ""Graham's"", 'Amaretto', 'Балтика 7'}",4272 5807 3216 8721,13,19110
Пятёрочка,"(59.9046426,30.3255255)",2023-12-14 09:00:25.044655,"{'Крупы', 'Мусорные пакеты', 'Шоколад', 'Молочные продукты', 'Вода', 'Бакалея', 'Сыр', 'Прокладки', 'Средство для мытья посуды', 'Хлебобулочные', 'Средство для чистки', 'Полуфабрикаты'}","{'Fairy', 'Milka', 'Увелка', 'Брест-Литовск', 'Hochland', 'Шишкин лес', 'Окраина', 'Always', 'Fackelmann', 'Comet', 'Олейна', 'Паляничка'}",5443 2976 4759 8694,14,1699
Семишагофф,"(59.9301276,30.3473586)",2023-09-15 11:26:26.500086,"{'Влажные салфетки', 'Детские товары', 'Шоколад', 'Моющее средство', 'Прокладки', 'Хлебобулочные', 'Полуфабрикаты', 'Чай'}","{'Milka', 'Persil', 'Pampers', 'Lipton', 'Always', 'Сибирская коллекция', 'Славянка', 'Tide'}",5469 5400 1495 6487,9,2435
Красное&Белое,"(59.9157605,30.301056)",2023-04-21 16:56:35.403931,"{'Пиво', 'Эль', 'Ром'}","{'Stella Artois', 'Heineken', 'Kilkenny', 'Budweiser', 'Captain Morgan'}",4276 7404 6274 9042,5,1680
Винлаб,"(59.9136322,30.3280147)",2024-07-03 15:15:24.789530,"{'Ликер', 'Бренди', 'Портвейн', 'Вермуты', 'Коньяк', 'Эль', 'Вино', 'Текила', 'Шампанское', 'Ром', 'Водка', 'Сидр', 'Пиво', 'Виски'}","{'Sandeman', 'Patron', 'Шато Тамань', 'Havana Club', 'Pliska', 'Amaretto', 'Абсолют', 'Guinness', 'Noilly Prat', 'Strongbow', 'Bass Pale Ale', 'Carpano', ""Dow's"", ""Jack Daniel's"", 'Martini Rosso', 'Kilkenny', 'Массандра', 'Советское', ""Graham's"", 'Martini Asti', 'Kahlua', 'Courvoisier'}",2206 7896 9653 2919,25,29320
